id,name,fa_icon,parent_id/id
website.menu_homepage,Home,fa fa-home fa-lg,website.main_menu
kdvn_website_theme.menu_aboutus,About us,fa fa-info-circle fa-lg,website.main_menu
kdvn_website_theme.menu_serv,Services,fa-building-o fa-lg,website.main_menu
website_hr_recruitment.menu_jobs,Recruitment,fa fa-user fa-lg,website.main_menu
kdvn_website_theme.menu_kinden_jp,KINDEN JAPAN,fa fa-globe fa-lg,website.main_menu
kdvn_website_theme.serv_electrical,Electrical,fa fa-chevron-circle-right,kdvn_website_theme.menu_serv
kdvn_website_theme.serv_mechanical,Mechanical,fa fa-chevron-circle-right,kdvn_website_theme.menu_serv
kdvn_website_theme.serv_comleted_prj,Completed Projects,fa fa-chevron-circle-right,kdvn_website_theme.menu_serv
kdvn_website_theme.intro_aboutus,KINDEN VIETNAM,fa fa-chevron-circle-right,kdvn_website_theme.menu_aboutus
kdvn_website_theme.intro_certificates,Certificates,fa fa-chevron-circle-right,kdvn_website_theme.menu_aboutus
kdvn_website_theme.intro_contact_us,Contacts us,fa fa-chevron-circle-right,kdvn_website_theme.menu_aboutus
kdvn_website_theme.resource,News,fa fa-chevron-circle-right,kdvn_website_theme.menu_aboutus
kdvn_website_theme.intro_download,Download,fa fa-chevron-circle-right,kdvn_website_theme.menu_aboutus
kdvn_website_theme.privacy,Terms of Use,fa fa-chevron-circle-right,kdvn_website_theme.menu_aboutus
