module,type,name,res_id,src,value
auth_crypt,field,"res.users,password_crypt",0,Encrypted Password,
auth_crypt,model,"ir.model,name",auth_crypt.model_res_users,Users,
auth_signup,model,"email.template,body_html",auth_signup.set_password_email,"
                
                    <p>
                        ${object.name},
                    </p>
                    <p>
                        You have been invited to connect to ""${object.company_id.name}"" in order to get access to your documents in Odoo.
                    </p>
                    <p>
                        To accept the invitation, click on the following link:
                    </p>
                    <ul>
                        <li><a href=""${object.signup_url}"">Accept invitation to ""${object.company_id.name}""</a></li>
                    </ul>
                    <p>
                        Thanks,
                    </p>
                    <pre>
--
${object.company_id.name or ''}
${object.company_id.email or ''}
${object.company_id.phone or ''}
                    </pre>
                
            ",
auth_signup,model,"email.template,body_html",auth_signup.reset_password_email,"
<p>A password reset was requested for the Odoo account linked to this email.</p>

<p>You may change your password by following <a href=""${object.signup_url}"">this link</a>.</p>

<p>Note: If you do not expect this, you can safely ignore this email.</p>",
auth_signup,model,"email.template,subject",auth_signup.set_password_email,${object.company_id.name} invitation to connect on Odoo,
auth_signup,view,res.users,auth_signup.res_users_form_view,A password reset has been requested for this user. An email containing the following link has been sent:,
auth_signup,selection,"res.users,state",0,Activated,
auth_signup,field,"base.config.settings,auth_signup_uninvited",0,Allow external users to sign up,
auth_signup,code,addons/auth_signup/controllers/main.py,78,An email has been sent with credentials to reset your password,
auth_signup,view,res.users,auth_signup.res_users_form_view,An invitation email containing the following subscription link has been sent:,
auth_signup,code,addons/auth_signup/controllers/main.py,125,Authentification Failed.,
auth_signup,view,website,auth_signup.reset_password,Back to Login,
auth_signup,view,website,auth_signup.signup,Back to Login,
auth_signup,code,addons/auth_signup/res_users.py,294,Cannot send email: user has no email address.,
auth_signup,view,website,auth_signup.fields,Confirm Password,
auth_signup,code,addons/auth_signup/controllers/main.py,80,Could not reset your password,
auth_signup,field,"base.config.settings,auth_signup_reset_password",0,Enable password reset from Login page,
auth_signup,help,"base.config.settings,auth_signup_uninvited",0,"If unchecked, only invited users may sign up.",
auth_signup,code,addons/auth_signup/controllers/main.py,109,Invalid signup token,
auth_signup,selection,"res.users,state",0,Never Connected,
auth_signup,model,"ir.model,name",auth_signup.model_res_partner,Partner,
auth_signup,view,website,auth_signup.fields,Password,
auth_signup,model,"email.template,subject",auth_signup.reset_password_email,Password reset,
auth_signup,view,website,web.login,Reset Password,
auth_signup,view,website,auth_signup.reset_password,Reset password,
auth_signup,view,res.users,auth_signup.res_users_form_view,Send Reset Password Instructions,
auth_signup,view,res.users,auth_signup.res_users_form_view,Send an Invitation Email,
auth_signup,view,website,auth_signup.signup,Sign up,
auth_signup,view,website,web.login,Sign up,
auth_signup,field,"res.partner,signup_expiration",0,Signup Expiration,
auth_signup,field,"res.partner,signup_token",0,Signup Token,
auth_signup,field,"res.partner,signup_type",0,Signup Token Type,
auth_signup,field,"res.partner,signup_valid",0,Signup Token is Valid,
auth_signup,field,"res.partner,signup_url",0,Signup URL,
auth_signup,field,"res.users,state",0,Status,
auth_signup,field,"base.config.settings,auth_signup_template_user_id",0,Template user for new users created through signup,
auth_signup,help,"base.config.settings,auth_signup_reset_password",0,This allows users to trigger a password reset from the Login page.,
auth_signup,model,"ir.model,name",auth_signup.model_res_users,Users,
auth_signup,view,website,auth_signup.fields,Your Email,
auth_signup,view,website,auth_signup.reset_password,Your Email,
auth_signup,view,website,auth_signup.fields,Your Name,
auth_signup,view,website,auth_signup.fields,e.g. John Doe,
base,model,"ir.module.module,description",base.module_l10n_cn,"

    科目类型\会计科目表模板\增值税\辅助核算类别\管理会计凭证簿\财务会计凭证簿

    添加中文省份数据

    增加小企业会计科目表
    
    ",
base,model,"ir.module.module,description",base.module_pos_restaurant,"

=======================

This module adds several restaurant features to the Point of Sale:
- Bill Printing: Allows you to print a receipt before the order is paid
- Bill Splitting: Allows you to split an order into different orders
- Kitchen Order Printing: allows you to print orders updates to kitchen or bar printers

",
base,model,"ir.module.module,description",base.module_pos_discount,"

=======================

This module allows the cashier to quickly give a percentage
sale discount to a customer.

",
base,model,"ir.module.module,description",base.module_l10n_hu,"

Base module for Hungarian localization
==========================================

This module consists :

 - Generic Hungarian chart of accounts
 - Hungarian taxes
 - Hungarian Bank information
 
 ",
base,model,"ir.module.module,description",base.module_crm_claim,"

Manage Customer Claims.
=======================
This application allows you to track your customers/suppliers claims and grievances.

It is fully integrated with the email gateway so that you can create
automatically new claims based on incoming emails.
    ",
base,code,addons/base/res/res_config.py,379,"

This addon is already installed on your system",
base,model,"ir.module.module,description",base.module_l10n_be_invoice_bba,"
    
Belgian localization for in- and outgoing invoices (prereq to account_coda):
============================================================================
    - Rename 'reference' field labels to 'Communication'
    - Add support for Belgian Structured Communication

A Structured Communication can be generated automatically on outgoing invoices according to the following algorithms:
---------------------------------------------------------------------------------------------------------------------
    1) Random : +++RRR/RRRR/RRRDD+++
        **R..R =** Random Digits, **DD =** Check Digits
    2) Date : +++DOY/YEAR/SSSDD+++
        **DOY =** Day of the Year, **SSS =** Sequence Number, **DD =** Check Digits
    3) Customer Reference +++RRR/RRRR/SSSDDD+++
        **R..R =** Customer Reference without non-numeric characters, **SSS =** Sequence Number, **DD =** Check Digits  
        
The preferred type of Structured Communication and associated Algorithm can be
specified on the Partner records. A 'random' Structured Communication will
generated if no algorithm is specified on the Partner record. 

    ",
base,model,"ir.module.module,description",base.module_openacademy,"
        Open Academy module for managing trainings:
            - training courses
            - training sessions
            - attendees registration
    ",
base,model,"ir.module.module,description",base.module_l10n_multilang,"
    * Multi language support for Chart of Accounts, Taxes, Tax Codes, Journals,
      Accounting Templates, Analytic Chart of Accounts and Analytic Journals.
    * Setup wizard changes
        - Copy translations for COA, Tax, Tax Code and Fiscal Position from
          templates to target objects.
    ",
base,model,"ir.module.module,description",base.module_test_documentation_examples,"
    Contains pieces of code to be used as technical documentation examples
    (via the ``literalinclude`` directive) in situations where they can be
    syntax-checked and tested.
    ",
base,model,"ir.module.module,description",base.module_website_certification,"
    Display your network of certified people on your website
    ",
base,model,"ir.module.module,description",base.module_report_intrastat,"
A module that adds intrastat reports.
=====================================

This module gives the details of the goods traded between the countries of
European Union.",
base,model,"ir.module.module,description",base.module_account_accountant,"
Accounting Access Rights
========================
It gives the Administrator user access to all accounting features such as journal items and the chart of accounts.

It assigns manager and user access rights to the Administrator and only user rights to the Demo user. 
",
base,model,"ir.module.module,description",base.module_l10n_be_hr_payroll_account,"
Accounting Data for Belgian Payroll Rules.
==========================================
    ",
base,model,"ir.module.module,description",base.module_account,"
Accounting and Financial Management.
====================================

Financial and accounting module that covers:
--------------------------------------------
    * General Accounting
    * Cost/Analytic accounting
    * Third party accounting
    * Taxes management
    * Budgets
    * Customer and Supplier Invoices
    * Bank statements
    * Reconciliation process by partner

Creates a dashboard for accountants that includes:
--------------------------------------------------
    * List of Customer Invoices to Approve
    * Company Analysis
    * Graph of Treasury

Processes like maintaining general ledgers are done through the defined Financial Journals (entry move line or grouping is maintained through a journal) 
for a particular financial year and for preparation of vouchers there is a module named account_voucher.
    ",
base,model,"ir.module.module,description",base.module_sale_order_dates,"
Add additional date information to the sales order.
===================================================

You can add the following additional dates to a sales order:
------------------------------------------------------------
    * Requested Date (will be used as the expected date on pickings)
    * Commitment Date
    * Effective Date
",
base,model,"ir.module.module,description",base.module_hr_contract,"
Add all information on the employee form to manage contracts.
=============================================================

    * Contract
    * Place of Birth,
    * Medical Examination Date
    * Company Vehicle

You can assign several contracts per employee.
    ",
base,model,"ir.module.module,description",base.module_product_email_template,"
Add email templates to products to be send on invoice confirmation
==================================================================

With this module, link your products to a template to send complete information and tools to your customer.
For instance when invoicing a training, the training agenda and materials will automatically be sent to your customers.'
    ",
base,model,"ir.module.module,description",base.module_product_margin,"
Adds a reporting menu in products that computes sales, purchases, margins and other interesting indicators based on invoices.
=============================================================================================================================

The wizard to launch the report has several options to help you get the data you need.
",
base,model,"ir.module.module,description",base.module_pad,"
Adds enhanced support for (Ether)Pad attachments in the web client.
===================================================================

Lets the company customize which Pad installation should be used to link to new
pads (by default, http://ietherpad.com/).
    ",
base,model,"ir.module.module,description",base.module_auth_oauth,"
Allow users to login through OAuth2 Provider.
=============================================
",
base,model,"ir.module.module,description",base.module_auth_openid,"
Allow users to login through OpenID.
====================================
",
base,model,"ir.module.module,description",base.module_auth_signup,"
Allow users to sign up and reset their password
===============================================
    ",
base,model,"ir.module.module,description",base.module_account_cancel,"
Allows canceling accounting entries.
====================================

This module adds 'Allow Canceling Entries' field on form view of account journal.
If set to true it allows user to cancel entries & invoices.
    ",
base,model,"ir.module.module,description",base.module_delivery,"
Allows you to add delivery methods in sale orders and picking.
==============================================================

You can define your own carrier and delivery grids for prices. When creating 
invoices from picking, OpenERP is able to add and compute the shipping line.
",
base,model,"ir.module.module,description",base.module_l10n_ar,"
Argentinian accounting chart and tax localization.
==================================================

Plan contable argentino e impuestos de acuerdo a disposiciones vigentes

    ",
base,model,"ir.module.module,description",base.module_website_forum,"
Ask questions, get answers, no distractions
        ",
base,model,"ir.module.module,description",base.module_account_test,"
Asserts on accounting.
======================
With this module you can manually check consistencies and inconsistencies of accounting module from menu Reporting/Accounting/Accounting Tests.

You can write a query in order to create Consistency Test and you will get the result of the test 
in PDF format which can be accessed by Menu Reporting -> Accounting Tests, then select the test 
and print the report from Print button in header area.
",
base,model,"ir.module.module,description",base.module_base_gengo,"
Automated Translations through Gengo API
========================================

This module will install passive scheduler job for automated translations 
using the Gengo API. To activate it, you must
1) Configure your Gengo authentication parameters under `Settings > Companies > Gengo Parameters`
2) Launch the wizard under `Settings > Application Terms > Gengo: Manual Request of Translation` and follow the wizard.

This wizard will activate the CRON job and the Scheduler and will start the automatic translation via Gengo Services for all the terms where you requested it.
    ",
base,model,"ir.module.module,description",base.module_sale_service,"
Automatically creates project tasks from procurement lines.
===========================================================

This module will automatically create a new task for each procurement order line
(e.g. for sale order lines), if the corresponding product meets the following
characteristics:

    * Product Type = Service
    * Procurement Method (Order fulfillment) = MTO (Make to Order)
    * Supply/Procurement Method = Manufacture

If on top of that a projet is specified on the product form (in the Procurement
tab), then the new task will be created in that specific project. Otherwise, the
new task will not belong to any project, and may be added to a project manually
later.

When the project task is completed or cancelled, the corresponding procurement
is updated accordingly. For example, if this procurement corresponds to a sale
order line, the sale order line will be considered delivered when the task is
completed.
",
base,model,"ir.module.module,description",base.module_hw_scale,"
Barcode Scanner Hardware Driver
================================

This module allows the point of sale to connect to a scale using a USB HSM Serial Scale Interface,
such as the Mettler Toledo Ariva.

",
base,model,"ir.module.module,description",base.module_hw_scanner,"
Barcode Scanner Hardware Driver
================================

This module allows the web client to access a remotely installed barcode
scanner, and is used by the posbox to provide barcode scanner support to the
point of sale module. 

",
base,model,"ir.module.module,description",base.module_l10n_et,"
Base Module for Ethiopian Localization
======================================

This is the latest Ethiopian OpenERP localization and consists of:
    - Chart of Accounts
    - VAT tax structure
    - Withholding tax structure
    - Regional State listings
    ",
base,model,"ir.module.module,description",base.module_l10n_br,"
Base module for the Brazilian localization
==========================================

This module consists in:

 - Generic Brazilian chart of accounts
 - Brazilian taxes such as:

        - IPI
        - ICMS
        - PIS
        - COFINS
        - ISS
        - IR
        - IRPJ
        - CSLL

The field tax_discount has also been added in the account.tax.template and 
account.tax objects to allow the proper computation of some Brazilian VATs 
such as ICMS. The chart of account creation wizard has been extended to 
propagate those new data properly.

It's important to note however that this module lack many implementations to 
use OpenERP properly in Brazil. Those implementations (such as the electronic 
fiscal Invoicing which is already operational) are brought by more than 15 
additional modules of the Brazilian Launchpad localization project 
https://launchpad.net/openerp.pt-br-localiz and their dependencies in the 
extra addons branch. Those modules aim at not breaking with the remarkable 
OpenERP modularity, this is why they are numerous but small. One of the 
reasons for maintaining those modules apart is that Brazilian Localization 
leaders need commit rights agility to complete the localization as companies 
fund the remaining legal requirements (such as soon fiscal ledgers, 
accounting SPED, fiscal SPED and PAF ECF that are still missing as September 
2011). Those modules are also strictly licensed under AGPL V3 and today don't 
come with any additional paid permission for online use of 'private modules'.
",
base,model,"ir.module.module,description",base.module_l10n_be_hr_payroll,"
Belgian Payroll Rules.
======================

    * Employee Details
    * Employee Contracts
    * Passport based Contract
    * Allowances/Deductions
    * Allow to configure Basic/Gross/Net Salary
    * Employee Payslip
    * Monthly Payroll Register
    * Integrated with Holiday Management
    * Salary Maj, ONSS, Withholding Tax, Child Allowance, ...
    ",
base,model,"ir.module.module,description",base.module_l10n_bo,"
Bolivian accounting chart and tax localization.

Plan contable boliviano e impuestos de acuerdo a disposiciones vigentes

    ",
base,model,"ir.module.module,description",base.module_marketing_crm,"
Bridge module between marketing and CRM
    ",
base,model,"ir.module.module,description",base.module_mail,"
Business oriented Social Networking
===================================
The Social Networking module provides a unified social network abstraction layer allowing applications to display a complete
communication history on documents with a fully-integrated email and message management system.

It enables the users to read and send messages as well as emails. It also provides a feeds page combined to a subscription mechanism that allows to follow documents and to be constantly updated about recent news.

Main Features
-------------
* Clean and renewed communication history for any OpenERP document that can act as a discussion topic
* Subscription mechanism to be updated about new messages on interesting documents
* Unified feeds page to see recent messages and activity on followed documents
* User communication through the feeds page
* Threaded discussion design on documents
* Relies on the global outgoing mail server - an integrated email management system - allowing to send emails with a configurable scheduler-based processing engine
* Includes an extensible generic email composition assistant, that can turn into a mass-mailing assistant and is capable of interpreting simple *placeholder expressions* that will be replaced with dynamic data when each email is actually sent.
    ",
