"id","name","url","fa_icon","new_window","parent_id/id","sequence"
"website.menu_homepage","Home","/page/homepage","fa fa-home fa-lg","False","website.main_menu","10"
"kdvn_website_structure.menu_aboutus","About us","/all","fa fa-info-circle fa-lg","False","website.main_menu","15"
"kdvn_website_structure.intro_aboutus","KINDEN VIETNAM","/intro/kdvn","fa fa-chevron-circle-right","False","kdvn_website_structure.menu_aboutus","15"
"kdvn_website_structure.intro_certificates","Certificates","/intro/certificates","fa fa-chevron-circle-right","False","kdvn_website_structure.menu_aboutus","16"
"kdvn_website_structure.intro_contact_us","Contacts us","/intro/contactus","fa fa-chevron-circle-right","False","kdvn_website_structure.menu_aboutus","17"
"kdvn_website_structure.resource","News","/all/news","fa fa-chevron-circle-right","False","kdvn_website_structure.menu_aboutus","18"
"kdvn_website_structure.intro_download","Download","/kdvn/download","fa fa-chevron-circle-right","False","kdvn_website_structure.menu_aboutus","19"
"kdvn_website_structure.privacy","Terms of Use","/intro/termofuse","fa fa-chevron-circle-right","False","kdvn_website_structure.menu_aboutus","20"
"kdvn_website_structure.menu_serv","Services","/services","fa-building-o fa-lg","False","website.main_menu","25"
"kdvn_website_structure.serv_electrical","Electrical","/es/news","fa fa-chevron-circle-right","False","kdvn_website_structure.menu_serv","25"
"kdvn_website_structure.serv_mechanical","Mechanical","/ms/news","fa fa-chevron-circle-right","False","kdvn_website_structure.menu_serv","26"
"kdvn_website_structure.serv_comleted_prj","Completed Projects","/prj/completed","fa fa-chevron-circle-right","False","kdvn_website_structure.menu_serv","27"
"website_hr_recruitment.menu_jobs","Recruitment","/jobs","fa fa-user fa-lg","False","website.main_menu","40"
"kdvn_website_structure.menu_kinden_jp","KINDEN JAPAN","http://www.kinden.co.jp/english/index.html","fa fa-globe fa-lg","True","website.main_menu","50"
