module,type,name,res_id,src,value
auth_crypt,field,"res.users,password_crypt",0,Encrypted Password,Encrypted Password
auth_crypt,model,"ir.model,name",auth_crypt.model_res_users,Users,ユーザ
auth_signup,model,"email.template,body_html",auth_signup.set_password_email,"
                
                    <p>
                        ${object.name},
                    </p>
                    <p>
                        You have been invited to connect to ""${object.company_id.name}"" in order to get access to your documents in Odoo.
                    </p>
                    <p>
                        To accept the invitation, click on the following link:
                    </p>
                    <ul>
                        <li><a href=""${object.signup_url}"">Accept invitation to ""${object.company_id.name}""</a></li>
                    </ul>
                    <p>
                        Thanks,
                    </p>
                    <pre>
--
${object.company_id.name or ''}
${object.company_id.email or ''}
${object.company_id.phone or ''}
                    </pre>
                
            ","                                    <p>                        ${object.name},                    </p>                    <p>                        You have been invited to connect to ""${object.company_id.name}"" in order to get access to your documents in Odoo.                    </p>                    <p>                        To accept the invitation, click on the following link:                    </p>                    <ul>                        <li><a href=""${object.signup_url}"">Accept invitation to ""${object.company_id.name}""</a></li>                    </ul>                    <p>                        Thanks,                    </p>                    <pre>--${object.company_id.name or ''}${object.company_id.email or ''}${object.company_id.phone or ''}                    </pre>                            "
auth_signup,model,"email.template,body_html",auth_signup.reset_password_email,"
<p>A password reset was requested for the Odoo account linked to this email.</p>

<p>You may change your password by following <a href=""${object.signup_url}"">this link</a>.</p>

<p>Note: If you do not expect this, you can safely ignore this email.</p>","<p>A password reset was requested for the Odoo account linked to this email.</p><p>You may change your password by following <a href=""${object.signup_url}"">this link</a>.</p><p>Note: If you do not expect this, you can safely ignore this email.</p>"
auth_signup,model,"email.template,subject",auth_signup.set_password_email,${object.company_id.name} invitation to connect on Odoo,${object.company_id.name} invitation to connect on Odoo
auth_signup,view,res.users,auth_signup.res_users_form_view,A password reset has been requested for this user. An email containing the following link has been sent:,A password reset has been requested for this user. An email containing the following link has been sent:
auth_signup,selection,"res.users,state",0,Activated,有効
auth_signup,field,"base.config.settings,auth_signup_uninvited",0,Allow external users to sign up,外部ユーザの登録を許可
auth_signup,code,addons/auth_signup/controllers/main.py,78,An email has been sent with credentials to reset your password,An email has been sent with credentials to reset your password
auth_signup,view,res.users,auth_signup.res_users_form_view,An invitation email containing the following subscription link has been sent:,次のサブスクリプションリンクを含む招待Eメールが送信されました：
auth_signup,code,addons/auth_signup/controllers/main.py,125,Authentification Failed.,Authentification Failed.
auth_signup,view,website,auth_signup.reset_password,Back to Login,Back to Login
auth_signup,view,website,auth_signup.signup,Back to Login,Back to Login
auth_signup,code,addons/auth_signup/res_users.py,294,Cannot send email: user has no email address.,Eメールが送信できません： ユーザにEメールアドレスが設定されていません。
auth_signup,view,website,auth_signup.fields,Confirm Password,パスワードを確認
auth_signup,code,addons/auth_signup/controllers/main.py,80,Could not reset your password,Could not reset your password
auth_signup,field,"base.config.settings,auth_signup_reset_password",0,Enable password reset from Login page,ログインページでのパスワードリセットを有効化
auth_signup,help,"base.config.settings,auth_signup_uninvited",0,"If unchecked, only invited users may sign up.","If unchecked, only invited users may sign up."
auth_signup,code,addons/auth_signup/controllers/main.py,109,Invalid signup token,Invalid signup token
auth_signup,selection,"res.users,state",0,Never Connected,接続履歴なし
auth_signup,model,"ir.model,name",auth_signup.model_res_partner,Partner,取引先
auth_signup,view,website,auth_signup.fields,Password,パスワード
auth_signup,model,"email.template,subject",auth_signup.reset_password_email,Password reset,Password reset
